1,1,"ALABAMA","AL"
2,1,"ALASKA","AK"
3,1,"AMERICAN SAMOA","AS"
4,1,"ARIZONA ","AZ"
5,1,"ARKANSAS","AR"
6,1,"CALIFORNIA ","CA"
7,1,"COLORADO ","CO"
8,1,"CONNECTICUT","CT"
9,1,"DELAWARE","DE"
10,1,"DISTRICT OF COLUMBIA","DC"
11,1,"FEDERATED STATES OF MICRONESIA","FM"
12,1,"FLORIDA","FL"
13,1,"GEORGIA","GA"
14,1,"GUAM ","GU"
15,1,"HAWAII","HI"
16,1,"IDAHO","ID"
17,1,"ILLINOIS","IL"
18,1,"INDIANA","IN"
19,1,"IOWA","IA"
20,1,"KANSAS","KS"
21,1,"KENTUCKY","KY"
22,1,"LOUISIANA","LA"
23,1,"MAINE","ME"
24,1,"MARSHALL ISLANDS","MH"
25,1,"MARYLAND","MD"
26,1,"MASSACHUSETTS","MA"
27,1,"MICHIGAN","MI"
28,1,"MINNESOTA","MN"
29,1,"MISSISSIPPI","MS"
30,1,"MISSOURI","MO"
31,1,"MONTANA","MT"
32,1,"NEBRASKA","NE"
33,1,"NEVADA","NV"
34,1,"NEW HAMPSHIRE","NH"
35,1,"NEW JERSEY","NJ"
36,1,"NEW MEXICO","NM"
37,1,"NEW YORK","NY"
38,1,"NORTH CAROLINA","NC"
39,1,"NORTH DAKOTA","ND"
40,1,"NORTHERN MARIANA ISLANDS","MP"
41,1,"OHIO","OH"
42,1,"OKLAHOMA","OK"
43,1,"OREGON","OR"
44,1,"PALAU","PW"
45,1,"PENNSYLVANIA","PA"
46,1,"PUERTO RICO","PR"
47,1,"RHODE ISLAND","RI"
48,1,"SOUTH CAROLINA","SC"
49,1,"SOUTH DAKOTA","SD"
50,1,"TENNESSEE","TN"
51,1,"TEXAS","TX"
52,1,"UTAH","UT"
53,1,"VERMONT","VT"
54,1,"VIRGIN ISLANDS","VI"
55,1,"VIRGINIA ","VA"
56,1,"WASHINGTON","WA"
57,1,"WEST VIRGINIA","WV"
58,1,"WISCONSIN","WI"
59,1,"WYOMING","WY"
